PID,fgs_label_s
islandora:2764,smith_ssc_324_b1004_f007_035_p002
islandora:5385,smith_ssc_324_b1007_f005_027_p002
islandora:29680,smith_ssc_324_b1040_f020_064_p001
islandora:30094,smith_ssc_324_b1041_f016_005_p001
islandora:2480,smith_ssc_324_b1004_f001_026_p001
islandora:22994,smith_ssc_324_b1031_f021_016_p001
islandora:3012,smith_ssc_324_b1005_f001_001_p001
islandora:25314,smith_ssc_324_b1036_f024_015_p002
islandora:7626,smith_ssc_324_b1010_f004_013_p002
islandora:30088,smith_ssc_324_b1041_f016_001_p001
islandora:23632,smith_ssc_324_b1032_f012_002_p002
islandora:601,smith_ssc_324_b1001_f005_003_p001
islandora:16201,smith_ssc_324_b1021_f005_045_p001
islandora:8822,smith_ssc_324_b1012_f007_029_p001
islandora:24735,smith_ssc_324_b1035_f006_014_p002
islandora:29310,smith_ssc_324_b1040_f014_021_p001
islandora:27437,smith_ssc_324_b1037_f020_025_p002
islandora:6647,smith_ssc_324_b1008_f003_026_p001
islandora:8798,smith_ssc_324_b1012_f007_017_p001
islandora:21965,smith_ssc_324_b1030_f002_001_p001
islandora:28356,smith_ssc_324_b1039_f014_008_p001
islandora:28438,smith_ssc_324_b1039_f015_022_p001
islandora:23790,smith_ssc_324_b1033_f005_010_p001
islandora:16144,smith_ssc_324_b1021_f005_016_p002
islandora:27455,smith_ssc_324_b1037_f020_034_p002
islandora:13035,smith_ssc_324_b1017_f005_015_p001.JPG
islandora:6825,smith_ssc_324_b1008_f006_026_p001
islandora:713,smith_ssc_324_b1001_f005_061_p002
islandora:8792,smith_ssc_324_b1012_f007_014_p001
islandora:12698,smith_ssc_324_b1017_f008_009_p001
islandora:12198,smith_ssc_324_b1016_f009_011_p001
islandora:16227,smith_ssc_324_b1021_f005_058_p001
islandora:10779,smith_ssc_324_b1015_f003_029_p001
islandora:23442,smith_ssc_324_b1032_f006_026_p001
islandora:2722,smith_ssc_324_b1004_f007_014_p002
islandora:23350,smith_ssc_324_b1032_f003_113_p001
islandora:10049,smith_ssc_324_b1013_f011_029_p002
islandora:6608,smith_ssc_324_b1008_f003_006_p002
islandora:3285,smith_ssc_324_b1005_f003_068_p001
islandora:29836,smith_ssc_324_b1041_f005_018_p001
islandora:4874,smith_ssc_324_b1006_f012_023_p002
islandora:5264,smith_ssc_324_b1007_f006_020_p002
islandora:23622,smith_ssc_324_b1032_f011_017_p002
islandora:8804,smith_ssc_324_b1012_f007_020_p001
islandora:15790,smith_ssc_324_b1020_f010_014_p002
islandora:10414,smith_ssc_324_b1014_f009_011_p001
